transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,payment_method
1001,15,103,2024-01-15 10:30:00,1,799.99,credit_card
1002,7,102,2024-01-15 11:45:00,2,59.99,paypal
1003,23,108,2024-01-15 13:20:00,3,19.99,debit_card
1004,42,105,2024-01-15 14:15:00,2,24.99,credit_card
1005,11,115,2024-01-15 15:30:00,1,79.99,bank_transfer
1006,31,110,2024-01-16 09:45:00,1,45.99,credit_card
1007,19,120,2024-01-16 10:30:00,2,69.99,paypal
1008,4,101,2024-01-16 11:20:00,1,1299.99,credit_card
1009,27,112,2024-01-16 13:45:00,1,179.99,debit_card
1010,38,107,2024-01-16 14:50:00,1,199.99,credit_card
1011,9,118,2024-01-17 09:15:00,3,39.99,paypal
1012,46,104,2024-01-17 10:30:00,1,249.99,credit_card
1013,13,116,2024-01-17 11:45:00,2,49.99,debit_card
1014,35,109,2024-01-17 13:20:00,4,29.99,bank_transfer
1015,22,119,2024-01-17 14:40:00,1,149.99,credit_card
1016,5,121,2024-01-18 09:30:00,1,129.99,paypal
1017,29,125,2024-01-18 10:45:00,1,179.99,credit_card
1018,41,114,2024-01-18 11:50:00,2,129.99,debit_card
1019,16,127,2024-01-18 13:15:00,1,299.99,credit_card
1020,33,123,2024-01-18 14:30:00,1,499.99,bank_transfer
1021,8,132,2024-01-19 09:20:00,2,44.99,credit_card
1022,44,128,2024-01-19 10:35:00,3,54.99,paypal
1023,25,136,2024-01-19 11:40:00,1,249.99,debit_card
1024,37,130,2024-01-19 13:25:00,2,29.99,credit_card
1025,12,138,2024-01-19 14:45:00,1,59.99,bank_transfer
1026,47,133,2024-01-20 09:25:00,1,199.99,credit_card
1027,3,141,2024-01-20 10:40:00,1,399.99,paypal
1028,28,135,2024-01-20 11:55:00,1,89.99,debit_card
1029,49,144,2024-01-20 13:30:00,2,79.99,credit_card
1030,17,140,2024-01-20 14:50:00,1,159.99,bank_transfer
1031,34,146,2024-01-21 09:15:00,1,149.99,credit_card
1032,6,148,2024-01-21 10:30:00,3,24.99,paypal
1033,45,142,2024-01-21 11:45:00,2,69.99,debit_card
1034,21,147,2024-01-21 13:20:00,1,89.99,credit_card
1035,39,143,2024-01-21 14:35:00,4,19.99,bank_transfer
1036,14,150,2024-01-22 09:30:00,2,39.99,credit_card
1037,32,145,2024-01-22 10:45:00,1,49.99,paypal
1038,48,137,2024-01-22 11:50:00,3,34.99,debit_card
1039,1,149,2024-01-22 13:25:00,1,24.99,credit_card
1040,26,134,2024-01-22 14:40:00,2,14.99,bank_transfer
1041,43,139,2024-01-23 09:20:00,1,44.99,credit_card
1042,18,131,2024-01-23 10:35:00,2,79.99,paypal
1043,36,126,2024-01-23 11:45:00,1,49.99,debit_card
1044,10,129,2024-01-23 13:15:00,3,39.99,credit_card
1045,50,124,2024-01-23 14:30:00,2,29.99,bank_transfer
1046,2,122,2024-01-24 09:25:00,1,39.99,credit_card
1047,30,117,2024-01-24 10:40:00,2,34.99,paypal
1048,40,113,2024-01-24 11:55:00,1,89.99,debit_card
1049,24,111,2024-01-24 13:30:00,1,159.99,credit_card
1050,20,106,2024-01-24 14:45:00,1,89.99,bank_transfer
